Date,BTC,ETH,DOGE
2/27/2019,3772.936335,131.6677685,0.001944134
2/28/2019,3799.678543,134.8225062,0.00191243
3/1/2019,3811.611979,135.0662511,0.001955793
3/2/2019,3804.41917,131.3451771,0.001969627
3/3/2019,3782.664101,130.3974612,0.001948369
3/4/2019,3689.862893,124.7250939,0.001899702
3/5/2019,3832.080885,135.000572,0.001938599
3/6/2019,3848.95637,137.084377,0.001931165
3/7/2019,3859.839983,136.8074624,0.001943902
3/8/2019,3828.371904,132.361661,0.001925753
3/9/2019,3898.86846,136.0269174,0.00195179
3/10/2019,3899.655869,135.362074,0.001951273
3/11/2019,3851.24919,132.4076102,0.001929102
3/12/2019,3866.295946,132.8070687,0.00199423
3/13/2019,3846.274442,131.0407794,0.001979404
3/14/2019,3855.744363,131.3672841,0.002013483
3/15/2019,3892.052301,134.9901214,0.002021353
3/16/2019,3985.851236,140.5670429,0.002046058
3/17/2019,3970.389045,138.3158542,0.002052304
3/18/2019,3974.415764,137.3255003,0.002044511
3/19/2019,3996.037131,137.6186421,0.002041415
3/20/2019,4027.787395,138.8187357,0.002025117
3/21/2019,3974.811429,134.8007697,0.002022616
3/22/2019,3987.305225,136.0194987,0.002007371
3/23/2019,3977.707443,136.4499004,0.002009193
3/24/2019,3968.438701,135.3985812,0.002005285
3/25/2019,3913.781717,133.3026314,0.002011537
3/26/2019,3915.37532,133.4910765,0.002031465
3/27/2019,4018.59051,138.0700978,0.002054615
3/28/2019,4008.370872,137.3131883,0.002044447
3/29/2019,4080.260114,141.3032262,0.002081265
3/30/2019,4081.221605,141.9411062,0.002075958
3/31/2019,4094.704791,141.3437324,0.002066674
4/1/2019,4135.18494,141.7132481,0.002410339
4/2/2019,4818.770635,162.4298499,0.002927212
4/3/2019,5102.150753,164.7095956,0.003173004
4/4/2019,4875.599431,157.0412173,0.003640386
4/5/2019,5030.933271,165.9009262,0.003529476
4/6/2019,5028.321082,165.1570911,0.003367889
4/7/2019,5198.17317,173.9915869,0.003398816
4/8/2019,5260.205043,180.2351402,0.002948255
4/9/2019,5179.997649,176.1470907,0.002875842
4/10/2019,5283.543758,176.9719357,0.002963853
4/11/2019,5049.605824,165.644294,0.002743435
4/12/2019,5077.515864,165.238241,0.002813662
4/13/2019,5066.86704,163.5799827,0.0028431
4/14/2019,5158.387401,168.281686,0.002868455
4/15/2019,5045.675166,161.2565404,0.002747863
4/16/2019,5184.204468,165.6484765,0.002776091
4/17/2019,5220.959934,166.3103093,0.002776303
4/18/2019,5276.558982,173.6138263,0.002958944
4/19/2019,5266.661246,173.3950038,0.002891238
4/20/2019,5292.14833,173.2030205,0.002858281
4/21/2019,5276.558318,170.1608503,0.002759978
4/22/2019,5398.433417,172.8128439,0.00276394
4/23/2019,5552.521911,171.8396593,0.002767673
4/24/2019,5432.991017,166.1931802,0.002560349
4/25/2019,5132.227526,154.2475258,0.002415391
4/26/2019,5151.574528,153.9102989,0.002522439
4/27/2019,5200.193239,157.4083036,0.002538327
4/28/2019,5152.54574,154.828085,0.002433694
4/29/2019,5151.4335,153.6813137,0.00241323
4/30/2019,5277.444469,161.2913029,0.00248825
5/1/2019,5297.942492,157.8012726,0.002450547
5/2/2019,5405.878067,160.9700953,0.002540293
5/3/2019,5697.679054,166.1339035,0.002676979
5/4/2019,5812.331779,163.8906998,0.002671546
5/5/2019,5713.035052,162.9348635,0.002576901
5/6/2019,5706.008421,173.605118,0.002562473
5/7/2019,5899.529693,173.8130614,0.002527791
5/8/2019,5932.441391,170.8984032,0.002537451
5/9/2019,6159.685902,170.9917809,0.002462494
5/10/2019,6387.82945,174.1020005,0.002543028
5/11/2019,7254.805536,200.4883684,0.002756217
5/12/2019,6992.706661,188.3712623,0.002638068
5/13/2019,7906.940835,197.3040944,0.002720073
5/14/2019,7928.417416,217.0781324,0.003012851
5/15/2019,8177.453519,246.8264233,0.003281746
5/16/2019,7820.076243,260.3302092,0.003197219
5/17/2019,7243.650539,239.4492649,0.002896532
5/18/2019,7295.649729,238.931991,0.002996982
5/19/2019,8221.259395,263.4469652,0.003127976
5/20/2019,7917.012499,250.0415313,0.002975478
5/21/2019,7961.128743,255.8952567,0.003041946
5/22/2019,7723.90388,246.4173094,0.002915793
5/23/2019,7903.84691,245.987827,0.002954978
5/24/2019,8038.506791,250.5181481,0.003012225
5/25/2019,8089.570163,252.8623843,0.003058605
5/26/2019,8653.142368,264.7384593,0.003045162
5/27/2019,8800.346606,269.1706596,0.003129699
5/28/2019,8719.331485,272.3649993,0.003155261
5/29/2019,8672.400107,270.458631,0.00321008
5/30/2019,8287.040256,253.2695206,0.00321412
5/31/2019,8513.203882,262.6178289,0.003404771
6/1/2019,8588.479505,268.0068681,0.003360208
6/2/2019,8744.265561,269.274568,0.003323955
6/3/2019,8474.048229,257.9038145,0.003224684
6/4/2019,7645.572514,239.0754425,0.00297652
6/5/2019,7790.321135,246.3609228,0.003027716
6/6/2019,7730.881726,243.5358114,0.003014594
6/7/2019,8030.256079,250.9237807,0.003129354
6/8/2019,7949.425799,245.1594275,0.003020666
6/9/2019,7600.922492,229.5070458,0.002958655
6/10/2019,7954.006238,243.6975775,0.003029695
6/11/2019,7903.62525,245.6023534,0.003077685
6/12/2019,8151.78868,257.0824436,0.003093833
6/13/2019,8256.720099,255.8128946,0.0029903
6/14/2019,8667.787954,263.9902062,0.003121344
6/15/2019,8836.168413,268.8329564,0.003177758
6/16/2019,9061.540461,270.7520786,0.00315604
6/17/2019,9346.975087,273.8801723,0.00324655
